Name Country Purpose Altitude Period Mass Year Lifetime
"Badr 4" "NR" "Communications" 35791 1436.06 3304 2006 15
"Badr 5" "NR" "Communications" 35883 1439.76 5420 2010 15
"Badr 5A" "NR" "Communications" 35623 1427.27 4940 2010 15
"Badr 6" "NR" "Communications" 35805 1436.1 3400 2008 15
"Badr 7" "NR" "Communications" 35817 1436 5500 2015 15
"Bangabandhu 1" "NR (10/18)" "Communications" 35793 1436.06 3500 2018 15
"Cosmos 2503" "Russia" "Earth Observation" 586 96.1 4000 2015 5
"Cosmos 2515" "Russia" "Earth Observation" 594 96.1 4000 2016 5
"BeeSat-1" "Germany" "Technology Development" 718 99 1 2009 1
"BeeSat-2" "Germany" "Technology Development" 579 96.01 1 2013 1
"Beidou 2-12" "China" "Navigation/Global Positioning" 21595 773.19 2200 2012 8
"Beidou 2-13" "China" "Navigation/Global Positioning" 21603 773.21 2200 2012 8
"Beidou 2-15" "China" "Navigation/Global Positioning" 21574 773.1 3800 2012 8
"Beidou 2-16" "China" "Navigation/Global Positioning" 35799 1436.11 3800 2012 8
"Beidou 2-17" "China" "Navigation/Global Positioning" 35890 1435.92 4200 2016 8
"Beidou 2-18" "China" "Navigation/Global Positioning" 35794 1436.1 3800 2016 8
"Beidou 3I-1S" "China" "Navigation/Global Positioning" 36781 1461.81 4200 2015 8
"Beidou 3I-2S" "NR" "Navigation/Global Positioning" 35953 1435.73 4200 2015 8
"Beidou 3-24" "NR (3/18)" "Navigation/Global Positioning" 21549 773.2 800 2017 8
"Beidou 3-25" "NR (3/18)" "Navigation/Global Positioning" 22549 773.2 800 2017 8
"Beidou 3M-1S" "NR" "Navigation/Global Positioning" 21549 773.2 800 2015 8
"Beidou 3M-2S" "NR" "Navigation/Global Positioning" 21550 773.3 800 2015 8
"Beidou 3M-3S" "NR (12/16)" "Navigation/Global Positioning" 21532 773.2 800 2016 8
"Beidou DW 26" "NR (5/18)" "Navigation/Global Positioning" 21541 773.2 800 2018 8
"Beidou DW 27" "NR (5/18)" "Navigation/Global Positioning" 21539 773.2 800 2018 8
"Beidou DW 28" "NR (5/18)" "Navigation/Global Positioning" 21547 773.2 800 2018 8
"Beidou DW 29" "NR (5/18)" "Navigation/Global Positioning" 21551 773.2 800 2018 8
"Beidou DW 30" "NR (5/18)" "Navigation/Global Positioning" 21533 773.2 800 2018 8
"Beidou DW 31" "NR (5/18)" "Navigation/Global Positioning" 22191 773.2 800 2018 8
"Beidou DW 32" "NR (10/18)" "Navigation/Global Positioning" 35876 1436.1 800 2018 8
"Beidou DW 33" "NR (10/18)" "Navigation/Global Positioning" 21545 773.2 800 2018 8
"Beidou DW 34" "NR (10/18)" "Navigation/Global Positioning" 21538 773.2 800 2018 8
"Beidou DW 35" "NR (11/18)" "Navigation/Global Positioning" 21540 773.2 800 2018 8
"Beidou DW 36" "NR (11/18)" "Navigation/Global Positioning" 21537 773.2 800 2018 8
"Beidou DW 37" "NR (11/18)" "Navigation/Global Positioning" 22193 787.1 800 2018 8
"Beidou DW 38" "NR (11/18)" "Navigation/Global Positioning" 21541 773.1 800 2018 8
"Beidou DW 39" "NR (11/18)" "Navigation/Global Positioning" 22195 787.4 800 2018 8
"Beidou DW 40" "NR (11/18)" "Navigation/Global Positioning" 22195 787.4 800 2018 8
"Beidou DW 41" "NR (11/18)" "Navigation/Global Positioning" 35795 1436.06 800 2018 8
"Beidou DW 42" "NR (11/18)" "Navigation/Global Positioning" 22194 787.1 800 2018 8
"Beidou DW 43" "NR (11/18)" "Navigation/Global Positioning" 22194 787.1 800 2018 8
"Beidou G-1" "China" "Navigation/Global Positioning" 35803 1436.05 2200 2010 8
"Beidou G3" "China" "Navigation/Global Positioning" 35797 1436.05 2200 2010 8
"Beidou G4" "China" "Navigation/Global Positioning" 35809 1436.1 6000 2010 8
"Beidou G5" "China" "Navigation/Global Positioning" 35799 1436.15 2300 2012 8
"Beidou IGSO-1" "China" "Navigation/Global Positioning" 35893 1435.82 4200 2010 8
"Beidou IGSO-2" "China" "Navigation/Global Positioning" 35817 1436.12 4200 2010 8
"Beidou IGSO-4" "China" "Navigation/Global Positioning" 35879 1435.1 4200 2011 8
"Beidou IGSO-5" "China" "Navigation/Global Positioning" 35864 1436.08 4200 2011 8
"BeijinGalaxy-1" "China" "Earth Observation" 703 98.6 166 2005 7
"Belintersat-1" "NR" "Communications" 35792 1436.06 5223 2016 15
"BermudaSat-1" "USA" "Communications" 35798 1436.12 3700 2000 12
"Bispectral InfraRed Detector 2 (Bird 2)" "Germany" "Earth Observation/Technology Development" 521 94.8 92 2001 1.5
"BKA 2" "Belarus" "Earth Observation" 507 94.7 400 2012 5
"BlackSky Pathfinder 1" "USA" "Earth Observation" 701 98.3 44 2016 3
"Brazilsat B-2" "Brazil" "Communications" 35797 1436.11 1780 1995 12
"Brazilsat B-3" "Brazil" "Communications" 35803 1436.07 1780 1998 12
"Brazilsat B-4" "Brazil" "Communications" 35800 1436.09 2495 2000 12
"BRISat" "Indonesia" "Communications" 35876 1436.2 3540 2016 15
"BRITE-PL-1" "Poland" "Space Science" 886 99.6 10 2013 2
"BRITE-PL-2" "NR" "Space Science" 633 97.1 10 2014 2
"BSAT-3A" "Japan" "Communications" 35794 1436.1 1980 2007 13
"BSAT-3B" "Japan" "Communications" 35725 1365.61 2060 2010 15
"BSAT-3C/JCSat 110-R" "Japan" "Communications" 35787 1436.04 2910 2011 15
"BSAT-4A" "NR (3/18)" "Communications" 35725 1432.7 3520 2017 15
"Buccaneer RMM" "NR (3/18)" "Technology Development" 819 97.4 4 2017 5
"BulgariaSat-1" "NR (10/17)" "Communications" 35797 1436 3669 2017 15
"Calipso" "France" "Earth Science" 703 98.8 587 2006 3
"CartoSat 1" "India" "Earth Observation" 619 97.1 1560 2005 6
"CartoSat 2" "India" "Earth Observation" 635 97.4 680 2007 5
"CartoSat 2A" "India" "Earth Observation" 643 97.4 680 2008 5
"CartoSat 2B" "India" "Earth Observation" 645 97.4 694 2010 5
"CartoSat 2C" "India" "Earth Observation" 519 94.8 727 2016 5
"CartoSat 2D" "India" "Earth Observation" 508 94.8 714 2017 5
"CartoSat 2E" "India" "Earth Observation" 347 91.34 712 2017 5
"CartoSat 2F" "NR (5/18)" "Earth Observation" 510 94.6 712 2018 5
"Cassiope" "NR" "Earth Science" 1486 103.11 490 2013 2
"CBERS 4" "NR" "Earth Observation" 748 99.67 1980 2014 3
"CFOSat" "NR (11/18)" "Earth Observation" 523 95 700 2018 3
"Chandra X-Ray Observatory (CXO)" "USA" "Space Science" 138825 3808.92 4742 1999 5
"ChinaSat 11" "China" "Communications" 35793 1436.14 5100 2013 15
"ChinaSat 1C" "NR" "Communications" 35796 1436.12 5200 2015 15
"ChinaSat 2C" "NR" "Communications" 35801 1436.1 5200 2015 15
"ChinaSat 6B" "China" "Communications" 35797 1436.1 4600 2007 15
"ChinaSat 9A" "NR (10/17)" "Communications" 35800 1436.1 5000 2017 15
"Ciel-2" "Canada" "Communications" 35788 1436.05 5585 2008 15
"Cloudsat" "USA" "Earth Observation" 703 98.8 848 2006 2
"COMSATBw-1" "Germany" "Communications" 35799 1436.1 2440 2009 15
"COMSATBw-2" "Germany" "Communications" 35794 1436.11 2440 2010 15
"Coriolis" "USA" "Earth Observation" 841 101.5 817 2003 3
"COSMIC-A" "NR" "Earth Observation" 836 100.9 70 2006 2
"COSMIC-B" "NR" "Earth Observation" 831 100.9 70 2006 2
"COSMIC-D" "NR" "Earth Observation" 746 98.9 70 2006 2
"COSMIC-E" "NR" "Earth Observation" 849 100.9 70 2006 2
"COSMIC-F" "NR" "Earth Observation" 828 100.9 70 2006 2
"COSMO-Skymed 1" "Italy" "Earth Observation" 623 97.2 1700 2007 5
"COSMO-Skymed 2" "Italy" "Earth Observation" 623 97.2 1700 2007 5
