Name Country Purpose Altitude Period Mass Year Lifetime
"Globalstar M069" "USA" "Communications" 1416 114.1 450 2007 10
"Globalstar M070" "USA" "Communications" 1415 114.1 450 2007 10
"Globalstar M071" "USA" "Communications" 1415 114.1 450 2007 10
"Globalstar M072" "USA" "Communications" 1416 114.1 450 2007 10
"Globalstar M073" "France" "Communications" 1414 114.1 700 2010 15
"Globalstar M074" "France" "Communications" 1415 114.1 700 2010 15
"Globalstar M075" "France" "Communications" 1415 114.1 700 2010 15
"Globalstar M076" "France" "Communications" 1415 114.1 700 2010 15
"Globalstar M077" "France" "Communications" 1414 114.1 700 2010 15
"Globalstar M078" "France" "Communications" 1415 114.08 700 2013 15
"Globalstar M079" "France" "Communications" 1414 114.1 700 2010 15
"Globalstar M080" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M081" "France" "Communications" 1415 114.1 700 2011 15
"Globalstar M082" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M083" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M084" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M085" "France" "Communications" 1415 114.1 700 2011 15
"Globalstar M086" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M088" "France" "Communications" 1415 114.1 700 2011 15
"Globalstar M089" "France" "Communications" 1415 118.2 700 2011 15
"Globalstar M090" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M091" "France" "Communications" 1415 114.1 700 2011 15
"Globalstar M092" "France" "Communications" 1414 114.1 700 2011 15
"Globalstar M093" "France" "Communications" 1415 113.35 700 2013 15
"Globalstar M094" "France" "Communications" 1414 103.44 700 2013 15
"Globalstar M095" "France" "Communications" 1414 114.08 700 2013 15
"Globalstar M096" "France" "Communications" 1414 103.48 700 2013 15
"Globalstar M097" "France" "Communications" 1391 113.96 700 2013 15
"Cosmos 2471" "Russia" "Navigation/Global Positioning" 19146 675.78 935 2011 10
"Cosmos 2501" "Russia" "Navigation/Global Positioning" 19178 676.15 935 2014 10
"Cosmos 2424" "Russia" "Navigation/Global Positioning" 19130 675.75 1480 2006 7
"Cosmos 2425" "Russia" "Navigation/Global Positioning" 19130 675.75 1480 2006 7
"Cosmos 2426" "Russia" "Navigation/Global Positioning" 19130 675.75 1480 2006 7
"Cosmos 2432" "Russia" "Navigation/Global Positioning" 19171 675.83 1480 2007 7
"Cosmos 2433" "Russia" "Navigation/Global Positioning" 19133 675.67 1480 2007 7
"Cosmos 2434" "Russia" "Navigation/Global Positioning" 19378 680.91 1480 2007 7
"Cosmos 2436" "Russia" "Navigation/Global Positioning" 19365 680.75 1480 2007 7
"Cosmos 2456" "Russia" "Navigation/Global Positioning" 19419 681.53 1415 2009 7
"Cosmos 2459" "Russia" "Navigation/Global Positioning" 19146 675.85 1415 2010 7
"Cosmos 2460" "Russia" "Navigation/Global Positioning" 19133 675.81 1415 2010 7
"Cosmos 2457" "Russia" "Navigation/Global Positioning" 19130 670.47 1415 2009 7
"Cosmos 2458" "Russia" "Navigation/Global Positioning" 19129 675.08 1415 2009 7
"Cosmos 2461" "Russia" "Navigation/Global Positioning" 19135 675.81 1415 2010 7
"Cosmos 2464" "Russia" "Navigation/Global Positioning" 19123 671.2 1415 2010 7
"Cosmos 2474" "Russia" "Navigation/Global Positioning" 19158 676.2 1415 2011 7
"Cosmos 2476" "Russia" "Navigation/Global Positioning" 19204 677.46 1415 2011 7
"Cosmos 2477" "Russia" "Navigation/Global Positioning" 19199 677.5 1415 2011 7
"Cosmos 2475" "Russia" "Navigation/Global Positioning" 19212 677.54 1415 2011 7
"Cosmos 2485" "Russia" "Navigation/Global Positioning" 19173 675.73 1415 2013 7
"Cosmos 2514" "Russia" "Navigation/Global Positioning" 19154 675.75 1415 2016 7
"Cosmos 2522" "Russia" "Navigation/Global Positioning" 19156 675.75 1415 2017 7
"Cosmos 2516" "Russia" "Navigation/Global Positioning" 19153 675.49 1415 2016 7
"Cosmos 2491" "Russia" "Navigation/Global Positioning" 19177 675.74 1415 2014 7
"Cosmos 2500" "Russia" "Navigation/Global Positioning" 19146 675.73 1415 2014 7
"Cosmos 2527" "NR (10/18)" "Navigation/Global Positioning" 19154 676.03 1415 2018 7
"Cosmos 2529" "NR (11/18)" "Navigation/Global Positioning" 19163 767.2 1415 2018 7
"GOES-13" "USA" "Earth Observation" 35801 1436 3200 2006 7
"GOES-14" "USA" "Earth Observation" 35170 1436 3200 2009 10
"GOES-15" "USA" "Earth Observation" 35788 1436.14 3175 2010 10
"GOES-R" "USA" "Earth Observation" 35795 1436.1 5192 2016 20
"GOES-S" "NR (5/18)" "Earth Observation" 35795 1436.09 5211 2018 15
"Göktürk 1" "NR" "Earth Observation" 683 98.42 1060 2016 7
"Göktürk 2" "NR" "Earth Observation" 690 98.35 409 2012 5
"Gonets M-03" "Russia" "Communications" 1510 115.9 270 2012 7
"Gonets M-04" "Russia" "Communications" 1511 115.9 270 2012 7
"Gonets M-05" "Russia" "Communications" 1510 116.1 270 2010 7
"Gonets M-11" "Russia" "Communications" 1508 116 280 2015 7
"Gonets M-12" "Russia" "Communications" 1506 116 280 2015 7
"Gonets M-13" "Russia" "Communications" 1504 116 280 2015 7
"Gonets M-14" "Russia" "Communications" 1507 115.86 270 2013 7
"Gonets M-16" "Russia" "Communications" 1508 116 270 2013 7
"Gonets M-17" "Russia" "Communications" 1509 116.02 270 2013 7
"Gonets M-18" "Russia" "Communications" 1510 115.87 280 2014 7
"Gonets M-19" "Russia" "Communications" 1512 115.89 280 2014 7
"Gonets M-20" "Russia" "Communications" 1509 115.84 280 2014 7
"GOSAT-2" "NR (11/18)" "Earth Observation" 599 96.5 1800 2018 5
"GovSat-1" "NR (5/18)" "Communications" 35807 1436.1 4230 2018 15
"Grace Follow-on-1" "NR (10/18)" "Earth Observation" 504 94.5 600 2018 5
"Grace Follow-on-2" "NR (10/18)" "Earth Observation" 504 94.5 600 2018 5
"Ibuki" "Japan" "Earth Observation" 670 98.1 1750 2009 5
"GSAT-10" "India" "Communications" 35795 1436.07 3400 2012 15
"GSAT-12" "India" "Communications" 35811 1436.1 1410 2011 8
"GSAT-14" "India" "Communications" 35810 1436.1 1982 2014 12
"GSAT-15" "NR" "Communications" 35805 1436.1 3164 2015 12
"GSAT-16" "NR" "Communications" 35798 1436.1 3181 2014 15
"GSAT-17" "India" "Communications" 35817 1436.1 3477 2017 15
"GSAT-18" "India" "Communications" 35812 1436.1 3404 2016 15
"GSAT-19E" "India" "Communications" 35795 1436.1 3136 2017 10
"GSAT-2" "India" "Communications/Technology Development" 35796 1436.07 1825 2003 5
"GSAT-29" "NR (11/18)" "Communications" 37807 1436.1 3400 2018 10
"GSAT-6" "NR" "Communications" 35775 1436.1 2110 2015 12
"GSAT-7" "India" "Communications" 35814 1436 2650 2013 7
"GSAT-8" "India" "Communications/Navigation" 35796 1436.23 3093 2011 12
"Haiyang 2A" "China" "Earth Observation" 967 104.4 1500 2011 3
"Haiyang 2B" "NR (11/18)" "Earth Observation" 957 104.1 1500 2018 3
"Havelsat" "Belgium" "Technology Development" 406 92.6 2 2017 0.25
"HEAD-1" "NR (3/18)" "Earth Observation" 809 100.9 45 2017 3
"Helios 2A" "NR" "Earth Observation" 683 98 4200 2004 5
"Helios 2B" "France" "Earth Observation" 682 98.37 4200 2009 5
"HellasSat 3" "NR (10/17)" "Communications" 35788 1436.1 5780 2017 15
"HellasSat 2" "Greece" "Communications" 35803 1436.08 3300 2003 15
"RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager)" "USA" "Space Science" 551 95.5 293 2002 3
"Himawari 8" "Japan" "Earth Observation" 35797 1436.06 3500 2014 8
"Himawari 9" "Japan" "Earth Observation" 35799 1436.1 3500 2016 8
"Hinode" "Japan" "Space Science" 696 98.4 700 2006 3
"Hisaki" "Japan" "Space Science" 1155 106.27 348 2013 1
"HiSIS" "NR (11/18)" "Earth Observation" 648 95 380 2018 5
"Hispasat 1D" "Spain" "Communications" 35809 1436.11 3288 2002 15
"Hispasat 1E" "NR" "Communications" 35786 1435.95 5320 2010 15
"Hispasat 30W-6" "NR (5/18)" "Communications" 35788 1436.11 6100 2018 15
"Hispasat 36W-1" "NR (9/17)" "Communications" 35791 1436.1 3220 2017 15
"HJ-1A" "China" "Earth Observation" 665 97.7 470 2008 3
"HJ-1B" "China" "Earth Observation" 673 97.7 470 2008 3
"HJ-1C" "China" "Earth Observation" 438 94.53 890 2012 3
"Horizons 2" "USA" "Communications" 35796 1436.1 2300 2007 15
"Horizons 3e" "NR (11/18)" "Communications" 35798 1436.1 6500 2018 15
"Horyu-2" "Japan" "Technology Development" 669 97.9 7 2012 1
"Hubble Space Telescope" "USA" "Space Science" 559 95.8 11110 1990 10
"HXMT" "NR (10/17)" "Space Science" 545 95.4 2500 2017 4
"HYLAS 4" "NR (5/18)" "Communications" 35795 1436.1 4050 2018 15
"HYLAS 1" "United Kingdom" "Communications" 35803 1436.07 2242 2010 15
"HYLAS 2" "United Kingdom" "Communications" 35799 1436.14 3311 2012 15
"Icesat-2" "NR (11/18)" "Earth Science" 468 93.8 1515 2018 3
"IGS Optical 5" "NR" "Earth Observation" 515 95.2 1600 2015 5
"IGS Optical 6" "NR (5/18)" "Earth Observation" 499 94.5 1600 2018 5
"IGS Radar 5" "Japan" "Earth Observation" 499 94.5 1600 2017 5
"IGS Radar 6" "NR (10/18)" "Earth Observation" 500 94.6 1600 2018 5
"IGS-5A" "Japan" "Earth Observation" 492 94.37 1600 2009 5
"IGS-6A" "Japan" "Earth Observation" 591 96.47 1600 2011 5
"IGS-7A" "Japan" "Earth Observation" 514 94.89 1600 2011 5
"IGS-8A" "Japan" "Earth Observation" 514 94.85 1600 2013 5
"IGS-8B" "Japan" "Earth Observation" 523 94.85 1600 2013 5
"IGS-9A" "NR" "Earth Observation" 510 94.85 1600 2015 5
"INMARSAT 3 F1" "NR" "Communications" 35808 1436.08 2064 1996 13
"INMARSAT 3 F2" "NR" "Communications" 35809 1436.1 2070 1996 13
"INMARSAT 3 F3" "NR" "Communications" 35810 1436.07 2074 1996 13
"INMARSAT 3 F5" "NR" "Communications" 35803 1436.07 2000 1998 13
"INMARSAT 4 F1" "United Kingdom" "Communications" 35799 1436.08 5959 2005 15
"INMARSAT 4 F2" "United Kingdom" "Communications" 35800 1436.11 5458 2005 15
"INMARSAT 4 F3" "United Kingdom" "Communications" 35798 1436.1 5960 2008 15
"INMARSAT 5 F1" "United Kingdom" "Communications" 35790 1436.13 6070 2013 15
"INMARSAT 5 F2" "United Kingdom" "Communications" 35789 1436 6105 2015 15
"INMARSAT 5 F3" "United Kingdom" "Communications" 35780 1436.1 6100 2015 15
"INMARSAT 5 F4" "United Kingdom" "Communications" 35789 1436.08 6086 2017 15
"INMARSAT IV-A F4" "United Kingdom" "Communications/Technology Development" 35787 1436.09 6650 2013 15
"INS-1C" "NR (5/18)" "Technology Development" 508 94.6 5 2018 0.5
"INSAT 3DR" "NR" "Earth Observation" 35851 1436.1 2200 2016 10
"INSAT 4A" "India" "Communications" 35796 1436.1 3100 2005 12
"INSAT 4CR" "India" "Communications" 37791 1436.11 2130 2007 12
"INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL)" "ESA" "Space Science" 156833 4032.86 4000 2002 2
"Intelsat 10" "USA" "Communications" 35796 1436.08 3739 2001 15
"Intelsat 10-02" "USA" "Communications" 35789 1436.08 5576 2004 13
"Intelsat 11" "USA" "Communications" 35795 1436.1 2491 2007 15
"Intelsat 12" "United Kingdom" "Communications" 35796 1436.09 4167 2000 18
"Intelsat 14" "USA" "Communications" 35800 1436.05 5613 2009 16
"Intelsat 15" "USA" "Communications" 35798 1436.12 2550 2009 17
"Intelsat 16" "USA" "Communications" 35791 1436.19 2450 2010 15
"Intelsat 17" "USA" "Communications" 35804 1436.12 5540 2010 16
"Intelsat 18" "USA" "Communications" 35797 1436.09 3200 2011 15
"Intelsat 19" "USA" "Communications" 35801 1436.01 5600 2012 15
"Intelsat 1R" "USA" "Communications" 35788 1436.11 4793 2000 15
"Intelsat 20" "USA" "Communications" 35790 1436.03 6094 2012 18
"Intelsat 21" "USA" "Communications" 35811 1436.39 5984 2012 15
"Intelsat 22" "USA" "Communications" 35792 1436.11 6199 2012 18
"Intelsat 23" "NR" "Communications" 35797 1436.21 3200 2012 18
"Intelsat 25" "NR" "Communications" 35793 1436.1 4100 2008 16
"JCSat R" "Japan" "Communications" 35794 1436.1 3124 1997 12
"Intelsat 29E" "NR" "Communications" 35788 1436.11 6500 2016 15
"Intelsat 30/DLA 1" "NR" "Communications" 35793 1435.97 6220 2014 15
"Intelsat 31/DLA 2" "NR" "Communications" 35860 1435.1 6450 2016 20
"Intelsat 33" "NR" "Communications" 36152 1439.36 6600 2016 15
"Intelsat 34" "NR" "Communications" 35811 1436.1 3300 2015 15
"Intelsat 35E" "NR" "Communications" 35794 1436.09 6761 2017 15
"Intelsat 36" "NR" "Communications" 35801 1436.1 3250 2016 15
"Intelsat 37E" "NR (3/18)" "Communications" 35795 1436.1 6438 2017 15
"Intelsat 5" "USA" "Communications" 35798 1436.09 2730 1997 15
"Intelsat 805" "NR" "Communications" 35797 1436.08 3420 1998 14
"Intelsat 9" "USA" "Communications" 35792 1436.14 3659 2000 15
"Intelsat 901" "USA" "Communications" 35798 1436.12 4723 2001 13
"Intelsat 902" "USA" "Communications" 35797 1436.1 4723 2001 13
"Intelsat 903" "USA" "Communications" 35802 1436.16 4723 2002 13
"Intelsat 904" "USA" "Communications" 35789 1436.07 4680 2002 13
"Intelsat 905" "USA" "Communications" 35805 1436.12 4723 2002 13
"Intelsat 906" "USA" "Communications" 35796 1436.07 4723 2002 13
"Intelsat 907" "USA" "Communications" 35803 1436.1 4685 2003 13
"Intelsat APR-2" "India" "Communications" 35804 1436.11 2550 1999 12
"Intelsat New Dawn" "NR" "Communications" 35892 1439.15 3000 2011 15
"Iridium  Next 142" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium Next 144" "NR (5/18)" "Communications" 625 97 860 2018 15
"Iridium Next 157" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium 10" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 14A" "China" "Communications" 711 99 689 1999 8
"Iridium 22" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 31" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 32" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 35" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 45" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 46" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 5" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 51" "China" "Communications" 779 100.4 689 1998 8
"Iridium 54" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 55" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 58" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 59" "USA" "Communications" 780 100.4 689 1998 8
"Iridium 60" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 61" "China" "Communications" 779 100.4 689 1998 8
"Iridium 64" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 7" "USA" "Communications" 779 100.4 689 1997 8
"Iridium 70" "USA" "Communications" 779 100.4 689 1998 8
"Iridium 74" "USA" "Communications" 751 99.8 689 1998 8
"Iridium 90" "USA" "Communications" 778 100.4 689 2002 8
"Iridium 91" "USA" "Communications" 753 99.8 689 2002 8
"Iridium 95" "USA" "Communications" 779 100.4 689 2002 8
"Iridium 96" "USA" "Communications" 754 99.8 689 2002 8
"Iridium 97" "USA" "Communications" 778 100.4 689 2002 8
"Iridium Next 102" "USA" "Communications" 621 97 860 2017 15
"Iridium Next 103" "USA" "Communications" 623 97 860 2017 15
"Iridium Next 104" "USA" "Communications" 622 96.9 860 2017 15
"Iridium Next 105" "USA" "Communications" 622 97 860 2017 15
"Iridium Next 106" "USA" "Communications" 704 98.8 860 2017 15
"Iridium Next 107" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 108" "USA" "Communications" 622 96.9 860 2017 15
"Iridium Next 109" "USA" "Communications" 622 97 860 2017 15
"Iridium Next 110" "NR (10/18)" "Communications" 718 97 860 2018 15
"Iridium Next 111" "USA" "Communications" 622 96.9 860 2017 15
"Iridium Next 112" "USA" "Communications" 622 96.9 860 2017 15
"Iridium Next 113" "NR" "Communications" 624 97 860 2017 15
"Iridium Next 114" "USA" "Communications" 622 96.9 860 2017 15
"Iridium Next 115" "NR" "Communications" 623 97 860 2017 15
"Iridium Next 116" "NR (5/18)" "Communications" 627 97 860 2017 15
"Iridium Next 117" "NR" "Communications" 623 97 860 2017 15
"Iridium Next 118" "NR" "Communications" 625 97 860 2017 15
"Iridium Next 119" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 120" "NR" "Communications" 624 97 860 2017 15
"Iridium Next 121" "NR" "Communications" 625 97 860 2017 15
"Iridium Next 122" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 123" "NR" "Communications" 624 97 860 2017 15
"Iridium Next 124" "NR" "Communications" 625 97 860 2017 15
"Iridium Next 125" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 126" "NR" "Communications" 623 97 860 2017 15
"Iridium Next 127" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 128" "NR" "Communications" 625 97 860 2017 15
"Iridium Next 129" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 130" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 131" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 132" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 133" "NR (3/18)" "Communications" 635 97.2 860 2017 15
"Iridium Next 134" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 135" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 136" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 138" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 139" "NR (3/18)" "Communications" 626 97 860 2017 15
"Iridium Next 141" "NR (5/18)" "Communications" 625 97 860 2017 15
"Iridium Next 143" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium Next 145" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium Next 146" "NR (5/18)" "Communications" 627 97 860 2018 15
"Iridium Next 147" "NR (10/18)" "Communications" 714 97 860 2018 15
"Iriidium Next 148" "NR (5/18)" "Communications" 625 97 860 2018 15
"Iridium Next 149" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium Next 150" "NR (5/18)" "Communications" 626 97 860 2018 15
"Iridium Next 151" "NR (5/18)" "Communications" 625 97 860 2017 15
"Iridium Next 152" "NR (10/18)" "Communications" 710 97 860 2018 15
"Iridium Next 153" "NR (5/18)" "Communications" 625 97 860 2017 15
"Iridium Next 154" "NR (10/18)" "Communications" 622 97 860 2018 15
"Iridium Next 155" "NR (10/18)" "Communications" 622 97 860 2018 15
"Iridium Next 156" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridium Next 158" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridum Next 159" "NR (10/18)" "Communications" 622 97 860 2018 15
"Iridium Next 160" "NR (10/18)" "Communications" 624 97 860 2018 15
"Iridium Next 161" "NR (10/18)" "Communications" 714 97 860 2018 15
"Iridium Next 162" "NR (10/18)" "Communications" 715 97 860 2018 15
"Iridium Next 163" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridium Next 164" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridium Next 165" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridium Next 166" "NR (10/18)" "Communications" 623 97 860 2018 15
"Iridium Next 137" "NR (5/18)" "Communications" 626 97 860 2017 15
"Iridium Next 140" "NR (5/18)" "Communications" 626 97 860 2018 15
"IRIS" "USA" "Space Science" 664 97.5 236 2013 2
"IRNSS-1A" "India" "Navigation/Regional Positioning" 35872 1436 1425 2013 12
"IRNSS-1B" "India" "Navigation/Regional Positioning" 35880 1436.14 1432 2014 12
"IRNSS-1C" "NR" "Navigation/Regional Positioning" 35871 1435.8 1425 2014 12
"IRNSS-1D" "NR" "Navigation/Regional Positioning" 35834 1435.06 1425 2015 12
"IRNSS-1E" "NR" "Navigation/Regional Positioning" 35874 1436.01 1425 2016 12
"IRNSS-1F" "India" "Navigation/Regional Positioning" 35874 1436.13 1425 2016 12
"IRNSS-1G" "India" "Navigation/Regional Positioning" 35797 1436.05 1425 2016 12
"IRNSS-1I" "NR (5/18)" "Navigation/Regional Positioning" 35872 1436.1 1425 2018 10
"IRS-P6" "India" "Earth Observation" 823 101.3 1360 2003 5
"ITU-pSAT1" "NR" "Technology Development" 721 99.1 1 2009 1
"Jason 2" "France" "Earth Observation" 1344 112.4 553 2008 5
"Jason 3" "USA" "Earth Observation" 1324 111.8 553 2016 5
"JCSat 10" "Japan" "Communications" 35801 1436.1 4400 2006 15
"JCSat 110" "Japan" "Communications" 35789 1436.11 3531 2000 15
"JCSat 13" "Japan" "Communications" 35791 1436.03 4500 2012 15
"JCSat 14" "Japan" "Communications" 35924 1441.5 4500 2016 15
"JCSat 15" "Japan" "Communications" 35774 1434.1 3400 2016 15
"JCSat 16" "Japan" "Communications" 35801 1436.01 4500 2016 15
"JCSat 2A" "Japan" "Communications" 35794 1436.1 2500 2002 11
"JCSat 4A" "Japan" "Communications" 37768 1435.52 2900 1999 14.5
"JCSat 9" "Japan" "Communications" 35797 1436.1 4400 2006 12
"JCSat RA" "Japan" "Communications" 35794 1436.12 4000 2009 15
"Jilin 1-4" "NR (3/18)" "Earth Observation" 545 95.4 95 2017 3
"Jilin 1-5" "NR (3/18)" "Earth Observation" 544 95.4 95 2017 3
"Jilin 1-6" "NR (3/18)" "Earth Observation" 544 95.4 95 2017 3
"Jilin 1-7" "NR (5/18)" "Earth Observation" 546 95.3 95 2018 3
"Jilin 1-8" "NR (5/18)" "Earth Observation" 546 95.3 95 2018 3
"Jugnu" "India" "Earth Observation" 866 102 3 2011 1
"Kalpana-1" "India" "Earth Observation" 35789 1436.08 1060 2002 7
"Canopus-B" "Russia" "Earth Observation" 505 94.7 400 2012 5
"KazEOSat-1" "NR" "Earth Observation" 754 99.87 830 2014 7.25
"KazEOSat-2" "NR" "Earth Observation" 636 97.19 185 2014 7
"KazSat-2" "Kazakhstan" "Communications" 35788 1436.13 1300 2011 12
"USA 186" "USA" "Earth Observation" 1050 97 18000 2005 5
"USA 224" "USA" "Earth Observation" 1000 97 18000 2011 5
"USA 245" "USA" "Earth Observation" 997 97.25 18000 2013 5
"KKS-1" "Japan" "Technology Development" 667 97.92 3 2009 1
"Kompsat-2" "South Korea" "Earth Observation/Technology Development" 698 98.5 800 2006 3
"Kompsat-3" "South Korea" "Earth Observation" 696 98.5 980 2012 4
"Kompsat-3A" "South Korea" "Earth Observation" 540 95.25 980 2015 4
"Kompsat-5" "South Korea" "Earth Observation" 552 95.5 1400 2013 5
"Koreasat 5A" "NR (3/18)" "Communications" 35799 1436 3700 2017 15
"Koreasat 6" "South Korea" "Communications" 35794 1436.12 2850 2010 15
"Koreasat 7" "South Korea" "Communications" 35791 1436.08 3680 2017 15
"USA 133" "USA" "Earth Observation" 675 98.2 14500 1997 5
"USA 152" "USA" "Earth Observation" 676 97.21 14500 2000 9
"USA 182" "USA" "Earth Observation" 716 99.08 14500 2005 9
"Landsat 7" "USA" "Earth Observation" 703 98.8 2744 1999 15
"Landsat 8" "USA" "Earth Observation" 705 98.8 2780 2013 5
"LaoSat-1" "NR" "Communications" 35800 1436.1 3800 2015 15
"LINK" "NR (10/17)" "Space Science" 404 92.4 3 2017 0.25
"Luch 5V" "Russia" "Communications" 35802 1435.99 1148 2014 10
"Maroc Tubsat" "NR" "Technology Development" 1014 105.1 47 2001 3
"Measat 3" "Malaysia" "Communications" 35794 1436.1 4900 2006 15
"Measat 3A" "Malaysia" "Communications" 35788 1434.6 2417 2009 15
"Measat 3B" "Malaysia" "Communications" 35802 1436.11 5800 2014 15
"Megha-Tropiques" "India" "Earth Observation" 868 102.2 1000 2011 5
"Merah Putih" "NR (11/18)" "Communications" 35797 1436.1 5800 2018 16
"Meridian-6" "Russia" "Communications" 38860 718.04 2500 2012 7
"Meridian-7" "Russia" "Communications" 39398 717.88 2500 2014 7
"Meteor-M N-2" "Russia" "Earth Observation" 828 101.3 2778 2014 5
"Meteosat 10" "EUMETSAT" "Earth Observation" 35791 1436.15 2000 2012 7
"Meteosat 11" "EUMETSAT" "Earth Observation" 35795 1436.1 2000 2015 12
"Meteosat 8" "EUMETSAT/ESA" "Earth Observation" 35793 1436.1 2000 2002 12
"Meteosat 9" "EUMETSAT" "Earth Observation" 35795 1436 2000 2005 12
"MetOp-A" "EUMETSAT" "Earth Observation" 821 101.3 4193 2006 5
"MetOp-B" "EUMETSAT" "Earth Observation" 822 101.3 4085 2012 5
"MetOp-C" "EUMETSAT" "Earth Observation" 829 101.2 4084 2018 5
"Mexsat-3" "Mexico" "Communications" 35791 1436.16 2900 2012 15
"Mexsat-2" "Mexico" "Communications" 35805 1436 5325 2015 15
"MICROSCOPE" "France" "Space Science" 715 99 300 2016 1
"MVL-300" "Russia" "Space Science" 487 94 645 2016 3
"USA 99" "USA" "Communications" 35819 1436.13 4536 1994 10
"USA 115" "USA" "Communications" 35809 1436.13 4536 1995 10
"USA 157" "USA" "Communications" 35768 1435.04 4536 2001 12
"USA 164" "USA" "Communications" 35820 1436.12 4536 2002 12
"USA 169" "USA" "Communications" 35806 1436.13 4536 2003 12
"MiRaTA" "NR (3/18)" "Earth Observation" 818 97.4 4 2017 0.25
"MMS-1" "NR" "Space Science" 70009 1433 1360 2015 3
"MMS-2" "NR" "Space Science" 70117 1433 1360 2015 3
"MMS-3" "NR" "Space Science" 70045 1433 1360 2015 3
"MMS-4" "NR" "Space Science" 70157 1433 1360 2015 3
"Microvariability & Oscillations of Stars (MOST)" "Canada" "Space Science" 832 101.4 53 2003 1
"MSAT 1" "Canada" "Communications" 35809 1436.09 2850 1996 12
"MSAT 2" "USA" "Communications" 35796 1436.09 2850 1995 10
"Multispectral Thermal Imager (MTI)" "USA" "Technology Development" 478 94.9 587 2000 3
"MTSAT-2" "Japan" "Earth Observation" 35797 1436.1 2900 2006 5
"MUOS-1" "USA" "Communications" 36006 1436.1 6804 2012 12
"MUOS-2" "USA" "Communications" 36023 1436.1 6804 2013 12
"USA 213" "USA" "Navigation/Global Positioning" 20224 718.94 1630 2010 12
"USA 262" "NR" "Navigation/Global Positioning" 20459 728.96 1630 2015 12
"USA 265" "NR" "Navigation/Global Positioning" 20486 97.7 1630 2015 12
"USA 266" "USA" "Navigation/Global Positioning" 20188 717.9 1630 2016 12
"USA 232" "USA" "Navigation/Global Positioning" 20464 729.18 1630 2011 12
"USA 239" "USA" "Navigation/Global Positioning" 20191 718 1630 2012 10
"USA 242" "USA" "Navigation/Global Positioning" 20247 719.32 1630 2013 10
"USA 248" "USA" "Navigation/Global Positioning" 20469 729.39 1630 2014 10
"USA 251" "USA" "Navigation/Global Positioning" 20188 717.92 1630 2014 10
"USA 256" "USA" "Navigation/Global Positioning" 20476 729 1630 2014 10
"USA 258" "USA" "Navigation/Global Positioning" 20211 718.02 1630 2014 10
"USA 260" "USA" "Navigation/Global Positioning" 20469 729.14 1630 2015 12
"USA 175" "USA" "Navigation/Global Positioning" 20327 716.47 2217 2003 10
"USA 177" "USA" "Navigation/Global Positioning" 20276 717.98 2217 2004 10
"USA 178" "USA" "Navigation/Global Positioning" 20292 717.96 2217 2004 10
"USA 180" "USA" "Navigation/Global Positioning" 20426 718 2217 2004 10
