Name,Mass,Radius,Orbit,Smass,Distance,Habitable,Method,Year,
HD 181433 b,7.57,1.85,0.07,0.78,26.15,0,Radial Velocity,2008,
HD 181433 c,203.48,9.38,1.69,0.78,26.15,0,Radial Velocity,2008,
HD 181433 d,171.69,9.01,2.63,0.78,26.15,0,Radial Velocity,2008,
HD 181720 b,3853.43,11.46,1.72,0.92,56,0,Radial Velocity,2009,
HD 183263 b,1166.84,11.64,1.41,1.17,53,0,Radial Velocity,2004,
HD 183263 c,1214.53,11.65,4.11,1.17,53,0,Radial Velocity,2008,
HD 185269 b,298.86,10.16,0.07,1.28,47,0,Radial Velocity,2006,
HD 187085 b,238.46,9.71,1.81,1.22,44.98,0,Radial Velocity,2006,
HD 187123 b,165.33,8.93,0.04,1.06,50,0,Radial Velocity,1998,
HD 187123 c,632.7,11.25,4.73,1.06,50,0,Radial Velocity,1998,
HD 188015 b,400.6,10.66,1.18,1.09,52.6,0,Radial Velocity,2004,
HD 189567 b,10.05,3.7,0.11,0.87,17.7,0,Radial Velocity,2011,
HD 189733 b,363.09,12.75,0.03,0.8,19.3,0,Primary Transit,2005,
HD 190228 b,20888.66,,1.73,1.3,66.11,0,Radial Velocity,2002,
HD 190360 b,475.32,10.91,3.68,1.04,15.89,0,Radial Velocity,2003,
HD 190360 c,20.29,4.67,0.13,1.04,15.89,0,Radial Velocity,2005,
HD 190647 b,604.09,11.21,2.04,1.1,54.2,0,Radial Velocity,2007,
HD 190984 b,985.61,11.58,4.52,0.91,103,0,Radial Velocity,2009,
HD 191806 b,2708.85,11.63,2.7,1.14,,0,Radial Velocity,2016,
HD 192263 b,233.05,9.67,0.15,0.81,19.9,0,Radial Velocity,1999,
HD 192699 b,794.85,11.45,1.15,1.68,67,0,Radial Velocity,2007,
HD 195019 b,1176.38,11.64,0.14,1.06,37.36,0,Radial Velocity,1998,
HD 195689 b,,,,,,0,Primary Transit,2017,
HD 196050 b,899.77,11.53,2.41,1.17,46.9,0,Radial Velocity,2002,
HD 196067 b,2193.79,11.67,3.77,1.28,44.3,0,Radial Velocity,2011,
HD 196885 A b,947.46,11.56,2.28,1.33,33,0,Radial Velocity,2007,
HD 197037 b,251.17,9.82,2.02,1.11,33,0,Radial Velocity,2012,
HD 200964 b,588.19,11.18,1.6,1.44,68.4,0,Radial Velocity,2010,
HD 200964 c,284.56,10.06,1.92,1.44,68.4,0,Radial Velocity,2010,
HD 202206 Bb,29759.18,,0.75,1.13,46.34,0,Radial Velocity,2002,
HD 202206 c,5691.13,11.08,2.35,1.13,46.34,0,Radial Velocity,2004,
HD 203030 b,3497.34,11.52,487,0.97,41,0,Imaging,2017,
HD 204313 b,1360.78,11.67,3.15,1.04,47.37,0,Radial Velocity,2009,
HD 204313 c,17.58,4.45,0.21,1.04,47.37,0,Radial Velocity,2011,
HD 204313 d,534.14,11.06,3.77,1.04,47.37,0,Radial Velocity,2012,
HD 204941 b,84.57,7.42,2.38,0.74,27,0,Radial Velocity,2011,
HD 205739 b,435.58,10.79,0.86,1.22,90.3,0,Radial Velocity,2008,
HD 206610 b,699.47,11.35,1.64,1.56,194,0,Radial Velocity,2010,
HD 206893 b,7153.65,10.77,10,1.24,38.34,0,Imaging,2016,
HD 207832 b,178.05,9.09,0.57,0.94,54.4,0,Radial Velocity,2012,
HD 207832 c,232.1,9.66,2.03,0.94,54.4,0,Radial Velocity,2012,
HD 208487 b,131.31,8.41,0.5,1.3,45,0,Radial Velocity,2004,
HD 208527 b,3147.61,11.57,2.09,1.6,320.2,0,Radial Velocity,2012,
HD 208897 b,445.12,10.82,1.05,1.25,64.68,0,Radial Velocity,2017,
HD 209458 b,219.38,15.46,0.05,1.15,47,0,Primary Transit,1999,
HD 210277 b,391.07,10.62,0.97,1.09,21.29,0,Radial Velocity,1998,
HD 210702 b,604.09,11.21,1.19,1.68,56,0,Radial Velocity,2007,
HD 211847 b,6104.45,10.99,5.46,0.94,50.6,0,Radial Velocity,2011,
HD 212301 b,127.18,11.98,0.04,1.05,52.7,0,Radial Velocity,2005,
HD 212771 b,731.26,11.39,1.21,1.15,131,0,Radial Velocity,2010,
HD 213240 b,1430.73,11.68,1.81,1.22,40.75,0,Radial Velocity,2001,
HD 214823 b,6104.45,10.99,3.14,1.22,,0,Radial Velocity,2016,
HD 215152 b,2,1.28,0.05,0.77,21.5,0,Radial Velocity,2018,
HD 215152 c,1.53,1.18,0.07,0.77,21.5,0,Radial Velocity,2011,
HD 215152 d,2.71,1.4,0.08,0.77,21.5,0,Radial Velocity,2011,
HD 215152 e,3.47,1.5,0.15,0.77,21.5,0,Radial Velocity,2018,
HD 215456 b,32.11,5.45,0.64,1,38,0,Radial Velocity,2011,
HD 215456 c,78.21,7.25,3.33,1.01,38,0,Radial Velocity,2011,
HD 215497 b,6.36,1.77,0.05,0.87,44,0,Radial Velocity,2009,
HD 215497 c,104.92,7.9,1.12,0.87,44,0,Radial Velocity,2009,
HD 216435 b,400.6,10.66,2.55,1.3,33.3,0,Radial Velocity,2002,
HD 216437 b,578.65,11.16,2.22,1.06,26.5,0,Radial Velocity,2002,
HD 216536 b,467.37,10.89,0.56,1.36,,0,Radial Velocity,2015,
HD 216770 b,206.66,9.41,0.43,0.9,38,0,Radial Velocity,2003,
HD 217107 b,422.86,10.74,0.07,1.02,19.72,0,Radial Velocity,1998,
HD 217107 c,791.67,11.45,4.51,1.02,19.72,0,Radial Velocity,1998,
HD 217786 b,4133.22,11.4,2.18,1.02,54.8,0,Radial Velocity,2010,
HD 218566 b,66.77,6.9,0.66,0.85,29.94,0,Radial Velocity,2010,
HD 219077 b,3303.4,11.55,3.97,1.05,29.35,0,Radial Velocity,2012,
HD 219134 b,3.82,1.6,0.04,0.79,6.55,0,Primary Transit,2015,
HD 219134 c,3.5,1.5,0.06,0.79,6.55,0,Radial Velocity,2015,
HD 219134 d,21.3,4.75,0.24,0.79,6.55,0,Radial Velocity,2015,
HD 219134 e,63.59,6.8,2.41,1.58,6.55,0,Radial Velocity,2015,
HD 219134 g,10.81,3.79,0.38,0.8,6.55,0,Radial Velocity,2015,
HD 219134 h,89.02,7.53,2.85,0.79,6.55,0,Radial Velocity,2015,
HD 219415 b,317.94,10.27,3.2,1,,0,Radial Velocity,2012,
HD 219828 b,21.02,4.73,0.04,1.24,81.1,0,Radial Velocity,2007,
HD 219828 c,4800.89,11.27,3.48,1.24,81.1,0,Radial Velocity,2016,
HD 220074 b,3529.13,11.51,1.58,1.2,290.2,0,Radial Velocity,2012,
HD 220689 b,337.02,10.37,3.32,1.04,44.6,0,Radial Velocity,2011,
HD 220773 b,461.01,10.87,4.25,1.16,49,0,Radial Velocity,2012,
HD 220842 b,1011.05,11.59,0.68,1.13,62.5,0,Radial Velocity,2016,
HD 221287 b,982.43,11.58,1.25,1.25,52.9,0,Radial Velocity,2007,
HD 221585 b,511.88,11.01,2.29,1.19,,0,Radial Velocity,2016,
HD 222076 b,495.99,10.97,1.82,1.07,83.5,0,Radial Velocity,2016,
HD 222155 b,604.09,11.21,5.03,1.13,49.1,0,Radial Velocity,2012,
HD 222582 b,2464.04,11.66,0.93,0.99,42,0,Radial Velocity,1999,
HD 224538 b,1898.1,11.68,2.02,1.54,77.76,0,Radial Velocity,2016,
HD 224693 b,225.74,9.6,0.23,1.33,94,0,Radial Velocity,2006,
HD 231701 b,343.38,10.41,0.53,1.14,108.4,0,Radial Velocity,2007,
HD 233604 b,2090.46,11.68,0.75,1.5,,0,Radial Velocity,2013,
HD 238914 b,1907.64,11.68,4.72,1.47,590,0,Radial Velocity,2018,
HD 240210 b,2193.79,11.67,1.31,1.25,143,0,Radial Velocity,2009,
HD 240237 b,1685.08,11.68,1.74,1.69,1500,0,Radial Velocity,2010,
HD 283668 b,16978,9.14,2.7,0.68,42.3,0,Radial Velocity,2016,
HD 283869 b,9.49,1.96,0.4,0.74,47.51,1,Primary Transit,2018,
HD 284149 b,10174.08,10.18,400,1.14,108.2,0,Imaging,2014,
HD 285507 b,291.55,10.11,0.07,0.73,41.3,0,Radial Velocity,2013,
HD 286123 b,126.54,11.2,0.1,1.19,133.1,0,Primary Transit,2018,
HD 290327 b,807.57,11.46,3.42,0.9,54.9,0,Radial Velocity,2009,
HD 330075 b,197.12,11.87,0.04,0.95,50.2,0,Radial Velocity,2004,
HII 1348 b,18758.46,8.92,138,,127,0,Imaging,2012,
HIP 5158 b,457.83,10.86,0.75,0.78,45,0,Radial Velocity,2009,
HIP 5158 c,4781.82,11.27,7.62,0.78,45,0,Radial Velocity,2010,
HIP 8541 b,1777.28,11.68,2.76,1.17,169,0,Radial Velocity,2016,
HIP 11915 b,314.76,10.25,4.78,1,57.3,0,Radial Velocity,2015,
HIP 12961 b,111.28,8.04,0.13,0.67,23,0,Radial Velocity,2009,
HIP 14810 b,1233.61,11.65,0.07,0.99,52.9,0,Radial Velocity,2006,
HIP 14810 c,406.96,10.69,0.54,0.99,52.9,0,Radial Velocity,2006,
HIP 14810 d,181.23,9.13,1.86,0.99,52.9,0,Radial Velocity,2009,
HIP 41378 b,4.8,2.91,0.13,1.15,116,0,Primary Transit,2016,
HIP 41378 c,3.15,2.55,0.21,1.15,116,0,Primary Transit,2016,
HIP 41378 d,12.3,3.95,0.6,1.15,116,0,Primary Transit,2016,
HIP 41378 e,33.25,5.51,0.53,1.15,116,0,Primary Transit,2016,
HIP 41378 f,304.86,10.19,0.97,1.15,116,0,Primary Transit,2016,
HIP 57050 b,94.75,7.67,0.16,0.34,11,0,Radial Velocity,2010,
HIP 57050 c,21639,,0.86,0.34,11,0,Radial Velocity,2017,
HIP 57274 b,11.45,3.86,0.07,0.73,25.92,0,Radial Velocity,2011,
HIP 57274 c,130.36,8.4,0.18,0.73,25.92,0,Radial Velocity,2011,
HIP 57274 d,167.55,8.96,0.97,0.73,25.92,0,Radial Velocity,2011,
HIP 63242 b,2918.69,11.61,0.55,1.54,135,0,Radial Velocity,2013,
HIP 64892 b,10492.02,10.13,159,2.35,125,0,Imaging,2018,
HIP 65407 b,136.08,8.49,0.18,0.93,16.74,0,Radial Velocity,2016,
HIP 65407 c,249.26,9.8,0.31,0.93,16.74,0,Radial Velocity,2016,
HIP 65426 b,2861.46,16.8,92,1.96,11.1,0,Imaging,2017,
HIP 65891 b,1907.64,11.68,2.79,2.5,136,0,Radial Velocity,2015,
HIP 67537 b,3529.13,11.51,4,2.41,112.6,0,Radial Velocity,2016,
HIP 67851 b,438.76,10.8,0.46,1.63,65.96,0,Radial Velocity,2014,
HIP 67851 c,1901.28,11.68,3.76,1.63,65.96,0,Radial Velocity,2015,
HIP 68468 b,3.5,1.5,0.03,1.05,87.8,0,Radial Velocity,2016,
HIP 68468 c,29.89,5.32,0.66,1.05,87.8,0,Radial Velocity,2016,
HIP 70849 b,2861.46,11.61,8,0.63,24,0,Radial Velocity,2009,
HIP 73990 b,6676.74,10.87,20,1.72,125,0,Imaging,2015,
HIP 73990 c,6994.68,10.81,32,1.72,125,0,Imaging,2015,
HIP 74865 b,8902.32,10.42,23,1.42,115,0,Imaging,2015,
HIP 74890 b,763.06,11.42,2.09,1.74,91.6,0,Radial Velocity,2016,
HIP 75458 b,2985.46,11.6,0.89,1.4,31.5,0,Radial Velocity,2002,
HIP 77900 b,6358.8,10.94,3200,,,0,Imaging,2013,
HIP 78530 b,7325.34,10.74,710,2.5,156.7,0,Imaging,2011,
HIP 79431 b,667.67,11.31,0.34,0.49,14.4,0,Radial Velocity,2010,
HIP 91258 b,339.56,10.39,0.06,0.95,44.9,0,Radial Velocity,2013,
HIP 97233 b,6358.8,10.94,2.02,1.93,106.5,0,Radial Velocity,2014,
HIP 105854 b,2607.11,11.64,0.81,2.1,80.84,0,Radial Velocity,2014,
HIP 107773 b,629.52,11.25,0.72,2.42,106,0,Radial Velocity,2015,
HIP 109384 b,495.99,10.97,0.95,0.78,56.2,0,Radial Velocity,2016,
HIP 109600 b,852.08,11.5,0.7,0.87,58.6,0,Radial Velocity,2016,
HIP 116454 b,11.83,2.53,0.1,0.78,55.2,0,Primary Transit,2014,
HN Peg b,5087.04,12.32,795,1,18.4,0,Imaging,2007,
HR 810 b,718.54,11.37,0.91,1.11,17.17,0,Radial Velocity,1999,
HR 2562 b,9538.2,10.3,20.3,1.3,33.63,0,Imaging,2016,
HR 3549 b,14307.3,9.5,80,,92.5,0,Imaging,2015,
HR 7329 b,11127.9,10.01,,,48,0,Imaging,2000,
HR 8799 b,2225.58,13.44,68,1.56,39.4,0,Imaging,2008,
HR 8799 c,3179.4,14.56,42.9,1.56,39.4,0,Imaging,2008,
HR 8799 d,3179.4,13.44,26.86,1.56,39.4,0,Imaging,2008,
HR 8799 e,2861.46,11.61,14.5,1.56,39.4,0,Imaging,2010,
HU Aqr(AB) c,1875.85,11.68,5.91,1,,0,Pulsar,2011,
HW Vir(AB) b,4546.54,11.32,4.3,0.63,181,0,Pulsar,2008,
J1324+63 b,3656.31,13.78,,,,0,Imaging,2018,
J1433 b,18154.37,8.99,0,0.8,,0,Primary Transit,2016,
K2-3 b,14.66,2.18,0.08,0.61,42,0,Transit,2016,
K2-3 c,7.59,1.85,0.14,0.61,42,0,Transit,2016,
K2-3 d,11.1,1.53,0.21,0.61,42,1,Transit,2016,
K2-4 b,21.07,2.37,0.08,0.63,,0,Transit,2016,
K2-5 b,8.59,1.91,0.05,0.61,,0,Transit,2016,
K2-5 c,17.1,2.26,0.08,0.61,,0,Transit,2016,
K2-6 b,26.93,2.5,0.19,0.97,,0,Transit,2016,
K2-7 b,3.64,2.67,0.18,0.97,,0,Transit,2016,
K2-8 b,9.1,3.58,0.09,0.78,,0,Transit,2016,
K2-8 c,22.72,2.41,0.05,0.78,,0,Transit,2016,
K2-9 b,16.77,2.25,0.09,0.3,110,1,Transit,2016,
K2-10 b,27,3.84,0.13,0.92,271,0,Transit,2016,
K2-11 b,89.63,7.55,0.23,1.35,2019,0,Transit,2016,
K2-12 b,19.53,2.33,0.08,1.01,294,0,Transit,2016,
K2-13 b,8.24,1.89,0.21,0.8,290,0,Transit,2016,
K2-14 b,22.12,4.81,0.06,0.47,219,0,Transit,2016,
K2-15 b,25.93,2.48,0.09,0.72,437,0,Transit,2016,
K2-16 b,10.72,2.02,0.07,0.68,324,0,Transit,2016,
K2-16 c,3.09,2.54,0.12,0.68,324,0,Transit,2016,
K2-17 b,16.14,2.23,0.12,0.71,134,0,Transit,2016,
K2-18 b,16.46,2.24,0.15,0.41,34,1,Transit,2016,
K2-18 c,7.5,1.84,0.05,0.41,34,0,Radial Velocity,2017,
K2-19 b,97.56,7.74,0.07,0.93,291,0,Transit,2016,
K2-19 c,22.81,4.86,0.1,0.93,291,0,Transit,2016,
K2-19 d,1.35,1.14,0.03,0.93,291,0,Transit,2016,
K2-21 b,4.31,1.59,0.07,0.64,65,0,Transit,2016,
K2-21 c,8.77,1.92,0.1,0.64,65,0,Transit,2016,
K2-22 b,444.96,2.5,0.01,0.6,225,0,Transit,2016,
K2-24 b,39.44,5.83,0.15,1.12,181,0,Transit,2016,
K2-24 c,114.42,8.1,0.25,1.12,181,0,Transit,2016,
K2-25 b,7.99,3.43,0.03,0.29,45.7,0,Transit,2016,
K2-26 b,3.64,2.67,0.1,0.56,93,0,Transit,2016,
K2-27 b,29.1,4.45,0.07,0.89,,0,Transit,2016,
K2-28 b,19.17,2.32,0.02,0.26,53,0,Transit,2016,
K2-29 b,232.02,13.34,0.04,0.94,185,0,Transit,2016,
K2-30 b,184.02,11.65,0.05,0.9,278,0,Transit,2016,
K2-31 b,590.1,11.18,0.02,1,,0,Transit,2016,
K2-32 b,30.94,5.38,0.08,0.87,,0,Transit,2016,
K2-32 c,8.35,3.48,0.14,0.87,,0,Transit,2016,
K2-32 d,10.48,3.75,0.19,0.87,,0,Transit,2016,
K2-33 b,1175.97,5.04,0.05,0.56,145,0,Transit,2016,
K2-34 b,559.38,15.13,0.04,1.28,377,0,Transit,2016,
K2-35 b,2.73,1.4,0.03,0.76,,0,Transit,2016,
K2-35 c,12.31,2.09,0.06,0.76,,0,Transit,2016,
K2-36 b,2.22,1.32,0.02,0.8,,0,Transit,2016,
K2-36 c,4.24,2.8,0.06,0.8,,0,Transit,2016,
K2-37 b,4.51,1.61,0.05,0.9,,0,Transit,2016,
K2-37 c,4,2.75,0.07,0.9,,0,Transit,2016,
K2-37 d,3.91,2.73,0.11,0.9,,0,Transit,2016,
K2-38 b,12,1.55,0.05,1.07,,0,Transit,2016,
K2-38 c,9.9,2.42,0.1,1.07,,0,Transit,2016,
K2-39 b,50.3,8.2,0.06,1.53,,0,Transit,2016,
K2-42 b,13.84,2.15,0.06,0.7,,0,Transit,2016,
K2-43 b,14.02,4.13,0.04,0.6,,0,Transit,2016,
K2-44 b,3.86,2.72,0.07,1.15,,0,Transit,2016,
K2-45 b,60.99,6.71,0.02,0.5,,0,Transit,2016,
K2-46 b,11.38,2.05,0.14,0.96,,0,Transit,2016,
K2-47 b,8.24,1.89,0.18,0.75,,0,Transit,2016,
K2-48 b,16.46,2.24,0.13,0.77,,0,Transit,2016,
K2-49 b,8.95,1.93,0.03,0.51,,0,Transit,2016,
K2-50 b,4.31,1.59,0.07,0.61,,0,Transit,2016,
K2-51 b,,12.9,0.11,1.01,,0,Transit,2016,
K2-52 b,550.17,11.1,0.05,1.21,,0,Transit,2016,
K2-53 b,26.93,2.5,0.1,0.83,,0,Transit,2016,
K2-54 b,1.39,1.15,0.07,0.42,,0,Transit,2016,
K2-55 b,11.08,3.82,0.03,0.7,,0,Transit,2016,
K2-57 b,12.55,2.1,0.07,0.68,,0,Transit,2016,
K2-58 b,3.68,2.68,0.07,0.89,,0,Transit,2016,
K2-58 c,4.61,1.62,0.04,0.89,,0,Transit,2016,
K2-58 d,5.63,1.71,0.15,0.89,,0,Transit,2016,
K2-59 b,22.72,2.41,0.14,0.77,,0,Transit,2016,
K2-59 c,18.45,2.3,0.09,0.77,,0,Transit,2016,
K2-60 b,261.74,9.9,0.04,1.08,,0,Transit,2016,
K2-61 b,25.93,2.48,0.04,1.21,,0,Transit,2016,
K2-62 b,13.57,2.14,0.06,0.77,,0,Transit,2016,
K2-62 c,13.57,2.14,0.11,0.77,,0,Transit,2016,
K2-63 b,6.57,3.22,0.16,1.4,,0,Transit,2016,
K2-64 b,11.84,2.07,0.06,0.74,,0,Transit,2016,
K2-65 b,4.21,1.58,0.1,0.87,78.06,0,Transit,2016,
K2-66 b,26.43,2.49,0.06,1.16,,0,Transit,2016,
K2-67 b,,17.4,0.16,0.94,,0,Transit,2016,
K2-68 b,4.21,1.58,0.07,0.73,,0,Transit,2016,
K2-69 b,19.17,2.32,0.06,0.55,,0,Transit,2016,
K2-70 b,4.68,2.89,0.11,0.94,,0,Transit,2016,
K2-71 b,13.84,2.15,0.06,0.48,,0,Transit,2016,
K2-72 b,2.05,1.29,0.05,0.41,55.52,0,Transit,2016,
K2-72 c,3.17,1.46,0.09,0.41,55.52,0,Transit,2016,
K2-72 d,1.84,1.25,0.06,0.41,55.52,0,Transit,2016,
K2-72 e,2.73,1.4,0.12,0.41,55.52,1,Transit,2016,
K2-73 b,24.51,2.45,0.08,1.05,,0,Transit,2016,
K2-74 b,18.8,2.31,0.14,0.96,,0,Transit,2016,
K2-75 b,3.64,2.67,0.08,1.16,,0,Transit,2016,
K2-75 c,4.09,2.77,0.14,1.16,,0,Transit,2016,
K2-76 b,550.17,11.1,0.16,1.02,,0,Transit,2016,
K2-77 b,25.45,2.47,0.08,0.87,,0,Transit,2016,
K2-78 b,2.87,1.42,0.03,0.9,,0,Transit,2016,
K2-79 b,9.98,3.69,0.1,1.06,,0,Transit,2016,
K2-80 b,10.51,2.01,0.14,0.9,,0,Transit,2016,
K2-80 c,3.24,1.47,0.06,0.9,,0,Transit,2016,
K2-81 b,7.13,1.82,0.06,0.7,,0,Transit,2016,
K2-82 b,3.34,2.6,0.04,0.15,,0,Transit,2016,
K2-83 b,1.81,1.24,0.03,0.48,,0,Transit,2016,
K2-83 c,3.35,1.48,0.07,0.48,,0,Transit,2016,
K2-84 b,22.72,2.41,0.07,0.95,,0,Transit,2016,
K2-84 c,10.94,2.03,0.18,0.95,,0,Transit,2016,
K2-85 b,0.9,1.01,0.01,0.57,,0,Transit,2016,
K2-86 b,9.51,1.96,0.08,0.79,,0,Transit,2016,
K2-87 b,19.36,4.6,0.09,0.95,,0,Transit,2016,
K2-88 b,1.74,1.23,0.03,0.26,,0,Transit,2016,
K2-89 b,0.18,0.61,0.01,0.35,,0,Transit,2016,
K2-90 b,11.16,2.04,0.09,0.56,,0,Transit,2016,
K2-90 c,0.93,1.02,0.03,0.56,,0,Transit,2016,
K2-91 b,1.19,1.1,0.02,0.29,,0,Transit,2016,
K2-92 b,3.17,2.56,0.02,1.04,,0,Transit,2016,
K2-95 b,530.96,3.7,0.06,0.43,,0,Primary Transit,2016,
K2-97 b,349.73,14.67,0.08,1.16,,0,Primary Transit,2016,
K2-99 b,308.4,14.45,0.16,1.6,604,0,Primary Transit,2016,
K2-105 b,29.89,3.58,0.08,1.01,220,0,Primary Transit,2017,
K2-106 b,8.36,1.52,0.01,0.93,253,0,Primary Transit,2016,
K2-106 c,5.72,2.46,0.1,0.93,253,0,Primary Transit,2016,
K2-108 b,59.45,5.28,0.06,1.12,262.4,0,Primary Transit,2016,
K2-110 b,16.69,2.59,0.1,0.74,118,0,Primary Transit,2017,
K2-136 b,0.83,0.99,0.07,0.74,59.4,0,Primary Transit,2017,
K2-136 c,5.22,2.99,0.12,0.74,59.4,0,Primary Transit,2017,
K2-136 d,,16.24,0.15,0.74,59.4,0,Primary Transit,2017,
K2-137 b,222.56,0.88,0.01,0.46,95,0,Primary Transit,2017,
K2-138 b,4.09,1.57,0.03,0.93,183,0,Primary Transit,2018,
K2-138 c,3.02,2.52,0.04,0.93,183,0,Primary Transit,2018,
K2-138 d,3.57,2.65,0.06,0.93,183,0,Primary Transit,2018,
K2-138 e,7.04,3.29,0.08,0.93,183,0,Primary Transit,2018,
K2-138 f,4.29,2.81,0.1,0.93,183,0,Primary Transit,2018,
K2-139 b,121.14,9.09,0.18,0.92,152,0,Primary Transit,2017,
K2-141 b,5.09,1.51,0.01,0.71,61,0,Primary Transit,2017,
K2-141 c,7.31,6.94,0.07,0.71,61,0,Primary Transit,2018,
K2-216 b,7.92,1.8,0.03,0.7,115.8,0,Primary Transit,2018,
kappa And b,4451.16,13.44,55,2.8,51.6,0,Imaging,2013,
kappa CrB b,508.7,11,2.55,1.51,31.1,0,Radial Velocity,2007,
Kapteyn b,4.8,1.64,0.16,0.28,3.91,1,Radial Velocity,2014,
Kapteyn c,7,1.81,0.3,0.28,3.91,0,Radial Velocity,2014,
KELT-1 b,8705.2,12.5,0.02,1.33,263,0,Primary Transit,2012,
KELT-2 A b,472.46,14.63,0.05,1.31,128.9,0,Primary Transit,2012,
KELT-3 b,450.84,14.93,0.04,1.28,178,0,Primary Transit,2012,
KELT-4 A b,281.06,19.11,0.04,1.2,211,0,Radial Velocity,2013,
KELT-6 b,140.53,13.22,0.08,1.13,,0,Primary Transit,2013,
KELT-6 c,1179.56,11.64,2.34,1.13,,0,Radial Velocity,2015,
KELT-7 b,410.14,17.17,0.04,1.53,129,0,Primary Transit,2015,
KELT-8 b,277.88,20.83,0.05,1.21,236,0,Primary Transit,2015,
KELT-10 b,215.88,15.67,0.05,1.11,183,0,Primary Transit,2015,
KELT-11 b,62,15.34,0.06,1.44,98,0,Primary Transit,2016,
KELT-15 b,292.5,16.16,0.05,1.18,201,0,Primary Transit,2015,
KELT-16 b,874.34,15.85,0.02,1.21,365,0,Primary Transit,2016,
KELT-17 b,416.5,17.08,0.05,1.64,210,0,Primary Transit,2015,
KELT-18 b,375.17,17.58,0.05,1.52,311,0,Primary Transit,2017,
KELT-19 A b,1294.02,21.39,0.06,1.62,255,0,Primary Transit,2017,
KELT-20 b,1118.51,19.43,0.05,2,,0,Primary Transit,2017,
KELT-21 b,1243.15,17.76,0.05,1.46,415,0,Primary Transit,2017,
Kepler-4 b,26.21,4,0.05,1.22,550,0,Primary Transit,2010,
Kepler-5 b,672.13,16.03,0.05,1.37,,0,Primary Transit,2010,
Kepler-6 b,212.7,14.82,0.05,1.21,,0,Primary Transit,2010,
Kepler-7 b,137.67,18.08,0.06,1.36,,0,Primary Transit,2010,
Kepler-8 b,191.72,15.89,0.05,1.21,1330,0,Primary Transit,2010,
Kepler-9 b,45.12,11.09,0.14,1,,0,Primary Transit,2010,
Kepler-9 c,31.01,10.69,0.23,1,,0,Primary Transit,2010,
Kepler-9 d,5.25,2,0.03,1,,0,Primary Transit,2010,
Kepler-10 b,3.33,1.47,0.02,0.91,173,0,Primary Transit,2011,
Kepler-10 c,19.19,2.32,0.24,0.91,173,0,Primary Transit,2011,
Kepler-11 b,1.9,1.8,0.09,0.95,,0,Primary Transit,2011,
Kepler-11 c,2.9,2.87,0.11,0.95,,0,Primary Transit,2011,
Kepler-11 d,7.3,3.12,0.16,0.95,,0,Primary Transit,2011,
Kepler-11 e,9.54,4.19,0.19,0.95,,0,Primary Transit,2011,
Kepler-11 f,2,2.49,0.25,0.95,,0,Primary Transit,2011,
Kepler-11 g,9.79,3.67,0.46,0.95,,0,Primary Transit,2011,
Kepler-12 b,137.03,18.98,0.06,1.17,,0,Primary Transit,2011,
Kepler-13 A b,2098.4,15.75,0.04,2.05,,0,Primary Transit,2011,
Kepler-14 b,2670.7,12.72,0.08,1.51,980,0,Primary Transit,2011,
Kepler-15 b,209.84,10.75,0.06,1.02,,0,Primary Transit,2011,
Kepler-16(AB) b,105.87,8.44,0.7,0.69,,0,Primary Transit,2011,
Kepler-17 b,778.95,14.69,0.03,1.16,800,0,Primary Transit,2011,
Kepler-18 b,6.87,2,0.04,0.97,,0,Primary Transit,2011,
Kepler-18 c,17.21,5.48,0.08,0.97,,0,Primary Transit,2011,
Kepler-18 d,16.31,6.96,0.12,0.97,,0,Primary Transit,2011,
Kepler-19 b,15.76,2.22,0.08,0.94,,0,Primary Transit,2011,
Kepler-19 c,13.1,4.04,0.18,0.94,,0,Other,2011,
Kepler-19 d,22.51,4.84,0.3,0.94,,0,Radial Velocity,2017,
Kepler-20 b,9.7,1.87,0.05,0.91,290,0,Primary Transit,2011,
Kepler-20 c,12.76,3.04,0.09,0.91,290,0,Primary Transit,2011,
Kepler-20 d,3.96,2.74,0.28,0.91,290,0,Primary Transit,2011,
Kepler-20 e,0.54,0.86,0.06,0.91,290,0,Primary Transit,2011,
Kepler-20 f,0.87,1,0.14,0.91,290,0,Primary Transit,2011,
Kepler-20 g,19.97,4.65,0.2,0.91,290,0,Other,2016,
Kepler-21 b,4.79,1.64,0.04,1.34,108,0,Primary Transit,2011,
Kepler-22 b,20.36,2.35,0.85,0.97,190,1,Primary Transit,2011,
Kepler-23 b,5.42,1.69,0.07,1.11,,0,Primary Transit,2012,
Kepler-23 c,5.92,3.11,0.1,1.11,,0,Primary Transit,2012,
Kepler-23 d,17.49,2.23,0.12,1.11,,0,Primary Transit,2014,
Kepler-24 b,20.36,2.35,0.08,1.03,,0,Primary Transit,2012,
Kepler-24 c,4.24,2.8,0.11,1.03,,0,Primary Transit,2012,
Kepler-25 b,3.77,2.7,0.07,1.22,,0,Primary Transit,2012,
Kepler-25 c,27.13,5.15,0.11,1.22,,0,Primary Transit,2012,
Kepler-25 d,89.93,7.56,0.52,1.22,,0,Radial Velocity,2014,
Kepler-26 b,4.13,2.78,0.09,0.65,,0,Primary Transit,2012,
Kepler-26 c,3.87,2.72,0.11,0.65,,0,Primary Transit,2012,
Kepler-26 e,22.64,2.41,0.22,0.65,,0,Primary Transit,2014,
Kepler-27 b,13.05,4.03,0.12,0.65,,0,Primary Transit,2012,
